"Time","Accel_x","Accel_y","Accel_z","Gyro_x","Gyro_y","Gyro_z","Mag_x","Mag_y","Mag_z","Light","Compass"
"453",,,,,,,"7.7000003","-12.900001","-35.7",,
"449",,,,"0.8841695","0.05219796","-0.05219796",,,,,
"459","1.459266","1.3742718","8.256405",,,,,,,,
"454",,,,"0.9395633","0.034088463","-0.11717909",,,,,
"459",,,,,,,,,,,"214.80581937872824"
"463","1.436521","1.3575124","8.2516165",,,,,,,,
"463",,,,,,,"7.5","-12.8","-35.8",,
"459",,,,"0.9715212","0.039414786","-0.19068234",,,,,
"468","1.3994108","1.30484","8.291121",,,,,,,,
"463",,,,"0.9821738","0.05752428","-0.27164245",,,,,
"470",,,,,,,,,,,"214.9549497290663"
"470","1.3994108","1.30484","8.291121",,,,,,,,
"468",,,,"0.9821738","0.05752428","-0.27164245",,,,,
"473","1.34195","1.2030864","8.343793",,,,,,,,
"473",,,,,,,"7.4","-12.8","-35.8",,
"472",,,,"0.97471696","0.07989483","-0.35899413",,,,,
"479","1.2186487","1.0414777","8.453926",,,,,,,,
"477",,,,"0.9534117","0.09161274","-0.44315",,,,,
"479",,,,,,,,,,,"215.5818654722251"
"483","1.0630256","0.8439561","8.534132",,,,,,,,
"483",,,,,,,"7.3","-12.8","-35.9",,
"481",,,,"0.9257148","0.094808534","-0.51771855",,,,,
"488","0.8738836","0.6859388","8.639477",,,,,,,,
"486",,,,"0.8926916","0.094808534","-0.58056915",,,,,
"490",,,,,,,,,,,"215.9162305528539"
"490","0.8738836","0.6859388","8.639477",,,,,,,,
"490",,,,"0.8926916","0.094808534","-0.58056915",,,,,
"493","0.5363012","0.5315128","8.763975",,,,,,,,
"493",,,,,,,"7.2000003","-12.8","-35.9",,
"500","0.11492168","0.4441244","8.890868",,,,,,,,
"494",,,,"0.8159926","0.13422333","-0.62744075",,,,,
"500",,,,,,,,,,,"216.42121375894962"
"505","-0.29688102","0.34955344","8.918402",,,,,,,,
"505",,,,,,,"7.1","-12.8","-35.9",,
"499",,,,"0.77444726","0.21518342","-0.59122175",,,,,
"510","-0.6619968","0.22864626","8.91481",,,,,,,,
"504",,,,"0.72970617","0.33768883","-0.5134575",,,,,
"510",,,,,,,,,,,"216.76772291592272"
"514",,,,,,,"7.0","-12.8","-35.9",,
"514","-0.92775315","0.18076223","8.84059",,,,,,,,
"509",,,,"0.680704","0.4878911","-0.39627838",,,,,
"519","-1.0989386","0.110133275","8.680179",,,,,,,,
"513",,,,"0.6317018","0.6306366","-0.24820662",,,,,
"519",,,,,,,,,,,"217.11016128015046"
"524","-1.1611878","0.16639702","8.511387",,,,,,,,
"524",,,,,,,"6.9","-12.8","-35.8",,
"518",,,,"0.5858955","0.74675035","-0.083090626",,,,,
"530","-1.0654198","0.37828386","8.365341",,,,,,,,
"523",,,,"0.5411543","0.8319715","0.083090626",,,,,
"530",,,,,,,,,,,"217.13724981039874"
"533","-0.82719666","0.7278373","8.269572",,,,,,,,
"533",,,,,,,"6.9","-12.8","-35.8",,
"528",,,,"0.49534798","0.8990832","0.23222765",,,,,
"539","-0.59136784","1.0941502","8.163031",,,,,,,,
"533",,,,"0.4463458","0.95447695","0.34514567",,,,,
